Name,Affiliation,h-index,i10-index,Citations
Abhinav Prakash,"University of Minnesota, Twin Cities",22,32,2629
N. Arvind Dasari,University of Texas MD Anderson Cancer Center,42,107,11952
Balaji Narasimhan,Iowa State University; Rutgers University; MIT; Purdue University,62,171,12349
Balaraman Ravindran,"Professor of Data Science and AI, Wadhwani School of Data Science and AI, IIT Madras",49,121,7305
Baskar Ganapathysubramanian,"NSF/USDA AI Institute, Iowa State University",52,158,11107
Bhaskar Krishnamachari,"Professor of Electrical and Computer Engineering, and Computer Science, USC",87,310,35880
Rao R. Bhavani,"Director, AMMACHI Labs, Amrita Vishwa Vidyapeetham",18,44,1284
Biswarup Mukhopadhyay,"Professor of Biochemistry, Virginia Tech; Adjunct faculty, Virginia Tech Carilion School",31,56,3356
Deepak John Mathew,Professor,6,3,116
Deepak Rajan,The Voleon Group,22,41,2603
Dr. K DEVAKI DEVI,Associate professor of Mecanical Engineering,8,7,189
Dhananjay Kumar,"Professor of Mechanical Engineering, COEP",56,315,16730
Dr. RVG Ravi Kumar,Professor of Mathematics,26,91,5498
Ganesh Gopalakrishnan,"Professor of Computer Science, University of Utah",42,142,6470
Gautam Biswas,Cornelius Vanderbilt Professor of Engineering; Professor of  Computer Science and Engineering,66,375,19679
TR Gowrishankar,"Research Affiliate, MIT",28,42,3612
Indumathi Nambi,Indian Institute of Technology Madras,37,86,4542
Jagadeesh Gopalan,"Professor of Aerospace Engineering, Indian Institute of Science",33,93,3639
Julius Paul Pradeep John,R&D,12,15,612
kamal bijlani,amrita vishwa vidyapeetham,19,32,915
Kandaswamy Subramanian,"Professor, Inter University Centre for Astronomy and Astrophysics",49,119,9744
Kannan Moudgalya,"Professor, IIT Bombay",19,39,1444
"Kartik Subramanian, Ph.D.","Senior Principal Scientist, Bristol Myers Squibb",14,15,892
Rajeshkumar L,"Alliance University, AU-STIC, CoE-AMS, Postdoc@KMUTNB, Thailand",34,82,3835
K. V. Lalitha  (a.k.a Lalitha Kodumudi Venkataraman),Technische Universität Darmstadt,22,41,1550
Madhavan Swaminathan,Dept Head EE; William E. Leonhard Endowed Chair; Director CHIMES (an SRC JUMP 2.0 Center) Penn State,54,333,13581
Mangala Srinivas,"Wageningen University & Research, Cenya Imaging BV, Young Academy of Europe. Previous: Radboud",31,48,3885
Baskaran Mani,"Sankara Nethralaya, Chennai",62,182,15027
Meenakshisundaram Swaminathan,"professor of chemistry, Annamalai university,visiting faculty, Kalasalingam university",63,301,18679
Mohan Krishnamoorthy,RMIT University,38,72,10785
